Associated Gene Name	Chromosome Name	Gene Start (bp)	Gene End (bp)
FOXN2	2	48314637	48379294
SDHD	11	112086773	112120013
PDE6C	10	93612588	93666010
IFT122	3	129440036	129520507
DGAT2L6	X	70177483	70205545
CALR3	19	16479057	16496192
CCL24	7	75811665	75823356
PLA2G4D	15	42067009	42094554
NENF	1	212432887	212446379
GPATCH8	17	44395284	44503430
AKAP8	19	15353385	15379798
CHEK1	11	125625136	125676255
HSPA1L	CHR_HSCHR6_MHC_APD_CTG1	31876648	31882094
NDUFC2	11	78068304	78080219
UEVLD	11	18529609	18588747
MARS	12	57475445	57517569
POU3F2	6	98834592	98839490
NLGN3	X	71144831	71171201
MDN1	6	89642499	89819723
OR4D2	17	58169656	58170579
MYO18A	17	29073517	29180412
NDUFAF1	15	41387349	41402519
ZMAT2	5	140698680	140706676
SLC39A12	10	17951839	18043292
DUSP4	8	29333064	29350668
ANKRD46	8	100509752	100559784
C2CD2L	11	119102198	119118544
PSMA8	18	26133852	26193355
PTCHD2	1	11479166	11537584
SLC22A9	11	63369789	63410294
ZNF211	19	57630395	57642779
PTBP3	9	112217716	112333667
IGLON5	19	51311848	51330354
FGF2	4	122826708	122898236
HCN3	CHR_HSCHR1_2_CTG31	155292987	155305252
JAG2	14	105140981	105168824
LUZP1	1	23084023	23177808
RBX1	22	40951347	40973309
TCTE1	6	44278743	44297688
APOC4	19	44942238	44945496
RABEP2	16	28904421	28936526
ERC2	3	55508308	56468363
DUSP7	3	52048919	52056550
C11orf70	11	102047443	102084560
P2RX4	12	121209857	121234106
PIM1	6	37170203	37175426
RXRA	9	134317098	134440585
STAR	8	38143649	38151265
CSPG5	3	47562239	47580792
CCNL1	3	157146508	157160760
KIR3DL3	CHR_HSCHR19KIR_FH05_B_HAP_CTG3_1	54724203	54736221
BSX	11	122977570	122981720
PCGF3	4	705748	770640
SAFB	19	5623035	5668478
CYP7B1	8	64587763	64798761
NLRP12	19	53793603	53824394
SLC2A12	6	133988697	134052636
PCTP	17	55750979	55842830
STS	X	7219456	7354810
ACAD11	3	132558138	132660723
TET1	10	68560656	68694482
CD55	1	207321508	207386804
CLCN2	3	184346185	184361651
NME9	3	138261437	138329886
ZNF324	19	58467045	58475436
KLHL18	3	47282917	47346816
CCNT2	2	134918235	134959342
MAGEC3	X	141838316	141897832
ST8SIA3	18	57350813	57371731
LTB	CHR_HSCHR6_MHC_QBL_CTG1	31570783	31572750
LTBP3	11	65538560	65558930
CCSAP	1	229321005	229343294
TMEM145	19	42313325	42325062
SIGLEC12	19	51491357	51501789
SLC7A13	8	86214052	86321146
TMEM151A	11	66291870	66296664
RSPH4A	6	116616479	116632985
SLC6A13	12	220621	262873
RANGRF	17	8288497	8290092
FKTN	9	105558130	105641118
KATNA1	6	149594873	149648972
FKBP11	12	48921518	48926474
FAM184B	4	17629306	17781512
ARRDC5	19	4890437	4902867
SYDE2	1	85156873	85201046
LRTOMT	11	72080331	72110782
TNNC1	3	52451102	52454070
RAB14	9	121178137	121223014
CDH10	5	24487100	24644978
PCYT2	17	81900965	81911464
NOTCH2NL	1	146146203	146229026
GGT1	22	24583750	24629005
HPRT1	X	134460153	134520513
CDK8	13	26254104	26405238
ZNF618	9	113876282	114056591
RFPL2	22	32190435	32203477
COL4A6	X	108155607	108439497
OS9	12	57693955	57721557
LILRA1	CHR_HSCHR19_4_CTG3_1	54582093	54610302
LY6G5B	6	31670167	31673776
NUDT22	11	64225941	64230686
ZPBP	7	49850421	50121329
PAQR5	15	69298947	69407780
NLRP14	11	7020446	7071308
DAZAP1	19	1407569	1435687
NR0B1	X	30304206	30309598
PRMT7	16	68310974	68358563
APOBEC3A	22	38952741	38992778
MAX	14	65006174	65102695
PPIL2	22	21652270	21700015
RPGRIP1L	16	53597683	53703938
ARHGAP24	4	85475114	86002670
WFDC9	20	45607939	45631268
GABRB2	5	161288429	161549044
OTUD1	10	23439458	23442390
RESP18	2	219327409	219333177
OSBPL5	11	3087116	3166739
DDR1	6	30876421	30900156
TAS2R8	CHR_HSCHR12_3_CTG2	10806051	10807293
SFT2D3	2	127701508	127705242
KCTD5	16	2682475	2709030
NIPA1	15	22773063	22829791
OR14J1	CHR_HSCHR6_MHC_SSTO_CTG1	29307588	29308553
SLC45A4	8	141207166	141308305
MRPL54	19	3762664	3768575
TBC1D10A	22	30291990	30327046
TRIM15	CHR_HSCHR6_MHC_MANN_CTG1	30208315	30217805
SCARA5	8	27869882	27992727
EDA	X	69616067	70039469
MERTK	2	111898479	112029561
EDA2R	X	66595637	66639298
ARHGAP39	8	144529179	144605816
CHD5	1	6101793	6180123
FAM107A	3	58564117	58627610
MEA1	6	43012094	43013968
SLC22A15	1	115976498	116070054
LY6G6C	CHR_HSCHR6_MHC_DBB_CTG1	31700817	31704014
ADCK2	7	140673153	140696261
ZNF280B	CHR_HSCHR22_1_CTG3	22493526	22518259
ZNF382	19	36604817	36634113
ACSL1	4	184755595	184826818
TTC21A	3	39107704	39138903
FUCA2	6	143494811	143511690
PKNOX1	21	42974510	43033931
HTR3B	11	113904677	113946565
TMEM237	2	201620184	201643570
C2CD2	21	41885112	41953890
FBLN5	14	91869412	91947987
LSM2	CHR_HSCHR6_MHC_APD_CTG1	31864414	31874003
SORD	15	45023104	45077185
POLE	12	132623753	132687365
MRPL32	7	42932200	42948958
NKAIN3	8	62248591	62999652
LRRC14B	5	191511	195353
CAMK2N1	1	20482391	20486220
TBATA	10	70771239	70785401
METTL22	16	8621683	8649654
CLIP3	19	36014660	36033343
ASH2L	8	38105242	38144076
THAP3	1	6624866	6635586
TNPO3	7	128954180	129055173
TMEM47	X	34627064	34657288
TRIM10	CHR_HSCHR6_MHC_SSTO_CTG1	30142335	30151326
EGR1	5	138465490	138469315
RNMT	18	13726660	13764558
MEF2B	19	19145568	19170289
GALNT5	2	157257598	157314211
SYT15	10	46578217	46594173
C5orf42	5	37106228	37249428
LSM1	8	38163321	38176730
NPW	16	2009926	2020755
BPIFB2	20	33007600	33023709
GNG11	7	93921699	93928610
HLA-DPA1	CHR_HSCHR6_MHC_DBB_CTG1	33042507	33058713
RGS16	1	182598623	182604408
MOB2	11	1469457	1501247
ABCA2	9	137007227	137028922
ALG9	11	111782195	111871581
KEL	7	142941114	142962681
NAIP	CHR_HSCHR5_2_CTG1_1	69602550	69659159
TRPV4	12	109783085	109833401
HLA-DQA2	CHR_HSCHR6_MHC_APD_CTG1	32781927	32787758
GATA5	20	62463497	62475970
VWA7	CHR_HSCHR6_MHC_SSTO_CTG1	31756347	31768050
NUDT8	11	67627938	67629930
PRKD2	19	46674275	46717127
CXorf66	X	139955725	139965520
SCIMP	17	5208961	5234860
MT3	16	56589074	56591088
ALG5	13	36949775	37000261
NEU1	CHR_HSCHR6_MHC_QBL_CTG1	31848038	31853285
SOX6	11	15966449	16739591
MYL6	12	56158161	56163496
ATP6V1B2	8	20197367	20226819
TRA2A	7	23504780	23532041
TES	7	116210493	116258783
KRT1	12	52674736	52680407
NRIP3	11	8980576	9004049
LSP1	11	1852970	1892267
ZBTB12	CHR_HSCHR6_MHC_DBB_CTG1	31881788	31884173
C12orf65	12	123232916	123257959
IRF2BP1	19	45883607	45886170
GLP2R	17	9822206	9892102
TRIM15	CHR_HSCHR6_MHC_QBL_CTG1	30152741	30162231
PRMT8	12	3381349	3593973
ZNF263	16	3263800	3301401
GLB1L3	11	134274245	134319564
FAM189A1	15	29120254	29570723
RANGAP1	22	41245611	41286251
CDC42BPA	1	226989865	227318474
COL9A1	6	70215061	70303083
MAGEF1	3	184710367	184712002
PSMB10	16	67934502	67937087
AGPAT1	CHR_HSCHR6_MHC_QBL_CTG1	32125820	32135704
SHROOM1	5	132822141	132830898
ZNF737	19	20535825	20565809
BNIP3	10	131966455	131982013
DDAH2	CHR_HSCHR6_MHC_MANN_CTG1	31766492	31770071
NRL	14	24080107	24115014
TWF2	3	52228610	52239260
APOL2	22	36226203	36239954
CAMSAP1	9	135808487	135907228
MAN1C1	1	25617468	25786207
LRCH2	X	115110616	115234072
DYRK1A	21	37365790	37517450
TBC1D10B	16	30357102	30370264
CSDC2	22	41560763	41577741
FGF22	19	639879	644371
MAGEB3	X	30230436	30237492
KLF17	1	44118850	44135140
MECR	1	29192873	29230942
ATP5J	21	25716503	25735673
GABRA4	4	46918900	46994407
OR6B3	2	240045077	240046072
ATXN7	3	63864557	64003462
STRAP	12	15882391	15903478
SLFN12L	17	35464249	35537861
DDR1	CHR_HSCHR6_MHC_MCF_CTG1	30959531	30970646
POC1A	3	52075253	52154690
HHIP	4	144646021	144745271
SETD3	14	99397746	99480889
RPS9	CHR_HSCHR19LRC_PGF1_CTG3_1	54201424	54249604
OR1A2	17	3197519	3198448
PRIMA1	CHR_HSCHR14_7_CTG1	93718298	93788481
ANKS1B	12	98726457	99984654
EML4	2	42169350	42332548
C15orf43	15	44956702	44979229
CCT6B	17	34927859	34981078
ZNF8	19	58278951	58302805
TUBGCP4	15	43369221	43409771
ZFP64	20	52051663	52204308
C7orf34	CHR_HSCHR7_2_CTG6	143000530	143002052
VN1R4	19	53266676	53267723
CDH23	10	71396934	71815947
SMARCD2	17	63832081	63843065
HTR5A	7	155070324	155085749
ADAMTS12	CHR_HSCHR5_6_CTG1	33842143	33894178
OR6C70	12	55469200	55470138
RCN1	11	31812391	32105755
SKIV2L	CHR_HSCHR6_MHC_MCF_CTG1	32035523	32046194
CHST12	7	2403560	2448483
OGFOD2	12	122974580	122980043
LACRT	12	54630811	54634895
NUCKS1	1	205712819	205750276
SERAC1	6	158109515	158168270
OR6C74	12	55247198	55248302
GALNT13	2	153871913	154453849
PNMA5	X	152988824	152994127
CFHR1	1	196819757	196832189
PPP2R2B	5	146581146	147084784
HLA-DPA1	CHR_HSCHR6_MHC_MCF_CTG1	33098041	33114235
PTGR1	9	111549722	111599855
CMTM3	16	66603874	66613892
LARP6	15	70829130	70854159
EMC7	15	34084017	34101948
FAM216B	13	42781550	42791549
RAB27A	15	55202966	55319113
ABCD3	1	94418455	94518666
GPSM3	CHR_HSCHR6_MHC_MCF_CTG1	32267189	32271946
FGF13	X	138614731	139222777
ZNF560	19	9466507	9498607
ZDHHC22	14	77131270	77142734
NUDT21	16	56429133	56452199
BLVRA	7	43758680	43807342
RPS13	11	17074389	17077787
RTKN	2	74425836	74442422
SPATA8	15	96783389	96785615
DLG5	CHR_HSCHR10_1_CTG4	77790791	77926526
CD209	19	7739994	7747564
ATP5J2	7	99448475	99466331
KLF8	X	56232421	56287889
HMGB2	4	173331695	173335125
FAM124A	13	51222334	51284241
RBM42	19	35629030	35637686
CRYBA2	2	218990189	218993421
C19orf53	19	13774168	13778462
BCAR3	1	93561786	93847150
SLC9A3	5	473310	524332
FAM155A	13	107163510	107866735
C1orf115	1	220689845	220699157
STK19	CHR_HSCHR6_MHC_SSTO_CTG1	31963829	31974100
E2F7	12	77021247	77065580
TM6SF1	15	83107407	83144854
CCL2	17	34255218	34257203
DMAP1	1	44213455	44220681
ZNF267	16	31873758	31917357
MAP3K8	10	30433937	30461833
ANAPC13	3	134477706	134486716
GLG1	16	74447427	74607144
TRAF4	17	28743984	28750958
TLCD2	17	1702790	1710438
RCC1	1	28505943	28539300
ASNSD1	2	189661385	189670831
ARFGAP3	22	42796502	42858106
SETD1B	12	121804180	121832584
CHAC2	2	53767792	53775196
LTB	6	31580525	31582522
SLC4A1AP	2	27663471	27694976
ABAT	16	8674565	8784575
HADHB	2	26243170	26290468
RAB32	6	146543693	146554965
MTNR1A	4	186533655	186555567
RASL11A	13	27270327	27273690
TBC1D1	4	37891087	38139175
SLC38A10	17	81245000	81295547
BAZ1B	7	73440398	73522278
SYNDIG1	20	24469199	24666616
DNAJC5G	2	27275421	27281499
FAM200A	7	99546308	99558536
NCBP1	9	97633626	97673748
PSPH	7	56011051	56051604
PTTG2	4	37960435	37961125
SCD5	4	82629539	82798857
HEBP2	6	138403531	138422197
AEBP1	7	44104361	44114562
MEX3D	19	1554669	1568058
OR4D1	17	58155133	58156156
AGMAT	1	15572353	15585110
KCNE2	21	34364024	34371389
USP43	17	9644698	9729691
PHIP	6	78935867	79078236
KIF24	9	34252381	34329200
ZCCHC12	X	118823790	118826968
XPOT	12	64404350	64451127
EFHC1	6	52420308	52495785
POLR3B	12	106357658	106510198
SYT2	1	202590596	202710417
CRX	19	47819779	47843330
SPTBN4	19	40466241	40576464
PSMD2	3	184298709	184309054
C9orf135	9	69820793	69906232
DCTN1	2	74361154	74392087
NKX3-1	8	23678693	23682927
PPIAL4G	1	148479824	148483679
MON1B	16	77190835	77202405
GPA33	1	167052836	167166479
SAT2	17	7626234	7627876
SERPINA11	14	94442464	94452790
STK39	2	167954020	168248141
FSTL1	3	120392293	120451253
HAUS1	18	46104332	46128333
CRISP1	6	49834257	49877096
NHSL1	6	138422043	138692571
ALAS2	X	55009055	55031064
C9orf57	9	72051376	72072721
SH3KBP1	X	19533975	19887601
CPSF7	11	61402641	61430031
EIF2S2	20	34088298	34112332
TTC26	7	139133744	139191986
KRTAP5-11	11	71579714	71603353
GLDC	9	6532464	6645650
CENPO	2	24793136	24822376
HSPB6	19	35754568	35758079
MIPOL1	14	37197913	37552361
CFTR	7	117465784	117715971
FOXN1	17	28506243	28538896
OR14J1	CHR_HSCHR6_MHC_MCF_CTG1	29306920	29307885
LARP7	4	112636964	112657592
TMEM43	3	14124940	14143679
CD7	17	82314868	82317602
ENPP4	6	46129993	46146699
ZNF75A	16	3305406	3318852
CST4	20	23685640	23689040
ZFP91	11	58579111	58621042
SIRPA	20	1894167	1940592
SGMS1	10	50305586	50625163
IRGC	19	43716010	43720021
ASIP	20	34194569	34269344
SATB2	2	199269500	199471266
TMPO	12	98515512	98550379
BEST2	19	12751702	12758458
TAS2R3	7	141764097	141765197
GDF5	20	35433347	35454746
MGAM	CHR_HSCHR7_2_CTG6	142038524	142106747
OR12D2	CHR_HSCHR6_MHC_SSTO_CTG1	29397025	29398093
NOL11	17	67717833	67744531
PWP2	21	44107290	44131181
CTNNA2	2	79185231	80648861
GPR84	12	54362445	54364487
CPXM2	10	123706207	123940267
GLYATL1	11	58905398	59043527
PAK1	11	77321707	77474635
PI3	20	45174876	45176544
RNF170	8	42849637	42897290
AP2M1	3	184174689	184184091
OR6C3	12	55331701	55332636
KIR3DL1	CHR_HSCHR19KIR_FH13_A_HAP_CTG3_1	54786226	54830745
OR7G1	19	9114828	9115763
ZNF571	19	37554782	37594790
GPATCH3	1	26890488	26900466
TRIM31	CHR_HSCHR6_MHC_MCF_CTG1	30181379	30191586
NUP133	1	229440260	229508341
DNMT3L	21	44246339	44262216
BBS7	4	121824440	121870497
OR9G1	11	56700388	56701305
MARCKSL1	1	32333832	32336379
KARS	16	75627474	75648643
LTB	CHR_HSCHR6_MHC_MCF_CTG1	31656860	31658827
OAZ2	15	64687573	64703281
ADAM32	8	39106990	39284911
WDR83	19	12666800	12675832
TCF19	CHR_HSCHR6_MHC_SSTO_CTG1	31153422	31159096
ATP9A	20	51596514	51768634
SPRYD4	12	56468567	56479707
MAPK9	5	180233143	180292099
ZBTB7B	1	155002630	155018522
LGSN	6	63275951	63319977
DCDC2B	1	32209094	32216196
PPIB	15	64155812	64163205
PECR	2	215996329	216082955
PLXNB3	X	153764196	153779346
CEACAM19	19	44662278	44684359
CAV2	7	116287380	116508541
GKN1	2	68974573	68980974
TRIM31	CHR_HSCHR6_MHC_MANN_CTG1	30098021	30108223
AGPAT1	CHR_HSCHR6_MHC_APD_CTG1	32235221	32245105
OR9Q1	11	58023881	58181616
NUDCD3	7	44379121	44490880
FMO1	1	171248471	171285978
FAM170B	10	49131154	49134008
OR11H6	14	20223632	20224805
AEBP2	12	19404045	19720801
APOC2	19	44946035	44949565
PPT2	6	32153441	32163680
DEAF1	11	644233	706715
GMNN	6	24774931	24786099
TPI1	12	6867119	6870948
CCDC93	2	117915478	118014133
NGFRAP1	X	103376340	103378077
TEKT3	17	15303811	15341641
CCT4	2	61868089	61888804
ARL10	5	176365468	176401865
TMED4	7	44577894	44582287
GORASP2	2	170928464	170967129
TNFAIP6	2	151357592	151380048
U2SURP	3	142964497	143060546
CCND1	11	69641087	69654474
MDM4	1	204516379	204558120
CLEC4E	12	8533305	8540963
ELN	7	74027789	74069907
CLPTM1L	CHR_HSCHR5_3_CTG1	1318299	1345099
TMSB4X	X	12975108	12977227
QRFP	9	130892702	130896812
SH2D2A	1	156806243	156816862
MOSPD2	X	14873441	14922327
DOCK3	3	50675241	51384198
CCNI	4	77047158	77076005
HLA-DPB1	CHR_HSCHR6_MHC_SSTO_CTG1	33216374	33227649
MICB	CHR_HSCHR6_MHC_MANN_CTG1	31446626	31550607
MOSPD1	X	134887626	134915267
RRAD	16	66921679	66925644
TYK2	19	10350529	10380676
OR11A1	CHR_HSCHR6_MHC_MCF_CTG1	29425279	29456852
LIN7C	11	27494576	27506773
KIF14	1	200551497	200620734
ESPL1	12	53268299	53293643
DIO3	14	101561351	101563452
ULK4	3	41246599	41962430
CD63	12	55725323	55729707
RCAN2	6	46220736	46491972
COMMD1	2	61888724	62147247
AUH	9	91213815	91361913
OR5D18	11	55819630	55820571
RAD23A	19	12945855	12953642
C6orf25	CHR_HSCHR6_MHC_DBB_CTG1	31700763	31708879
APOM	CHR_HSCHR6_MHC_DBB_CTG1	31634594	31640388
CFHR3	1	196774795	196795406
KCNS2	8	98427022	98432848
SLC39A11	17	72645949	73092712
PPEF2	4	75859864	75902571
LMO3	12	16548373	16610594
CTRL	16	67927640	67932414
PDRG1	20	31944342	31952092
KCTD17	22	37051736	37063390
GLTSCR2	19	47745522	47757058
CCNG2	4	77157151	77433388
CDK2	12	55966769	55972784
AKT1	14	104769349	104795751
SYK	9	90801787	90898549
EP400	12	131949920	132081102
SEC11C	18	59139477	59158836
GDF3	12	7689782	7695776
ZNF90	19	20077994	20127076
UBE2J2	1	1253909	1273885
ACSBG1	15	78167468	78245688
CDHR5	CHR_HSCHR11_1_CTG8	616823	626336
NDUFAF2	5	60945129	61153037
SOX14	3	137764284	137766338
MAP1LC3B2	12	116548105	116576448
MS4A7	11	60378482	60395951
NFS1	20	35668055	35699359
CDK18	1	205504595	205532793
TEX15	8	30831544	30890606
FAM179A	2	28956611	29061373
IFI27	CHR_HSCHR14_7_CTG1	94104836	94116698
MARK3	14	103385392	103503831
ESPN	1	6424788	6461370
ZNF232	17	5105541	5123116
TPRX1	19	47801243	47819051
LUC7L2	7	139340359	139423457
HCLS1	3	121631399	121660927
BDP1	CHR_HSCHR5_1_CTG1_1	70780935	70893131
GSG1	12	13083560	13103683
ZNF239	10	43556344	43574618
DLGAP2	CHR_HSCHR8_7_CTG1	1627028	1708042
ICAM3	19	10333776	10339823
DNAJC12	10	67796665	67838166
PGRMC1	X	119236245	119244466
TEX2	17	64147227	64263301
POLR2D	2	127843551	127858157
FAM3D	3	58633946	58666848
SKOR1	15	67819704	67834561
ADAMTS6	5	65148736	65481920
LILRA5	19	54307070	54313139
SCAND1	20	35953617	35959472
VWC2	7	49773661	49921950
SFXN5	2	72942036	73075619
SYT1	12	78863993	79452008
HSF1	8	144291591	144314722
LENG9	CHR_HSCHR19LRC_PGF1_CTG3_1	54392112	54394035
MOBP	3	39467198	39529479
UTF1	10	133230274	133231558
VWA2	10	114239330	114291513
SLC26A6	3	48625723	48635493
KBTBD8	3	66998307	67011210
GOLGB1	3	121663199	121749767
HLA-DQA2	CHR_HSCHR6_MHC_QBL_CTG1	32670013	32675872
MOK	14	102224500	102305200
NEK10	3	27110085	27369460
PLOD1	1	11934205	11975538
FUT7	9	137030174	137033010
GNS	12	64713445	64759447
RAB4A	1	229271062	229305894
MARK1	1	220528183	220664461
IVNS1ABP	1	185296388	185317329
CCNYL1	2	207711540	207761839
FAM161B	14	73931501	73950414
CEACAM7	19	41673307	41706976
METTL20	12	31647160	31673114
CC2D1B	1	52345723	52366193
C22orf42	22	32149006	32159322
HIP1R	12	122834453	122862960
NIPSNAP1	22	29554808	29581337
ZCCHC17	1	31296982	31364953
BCLAF1	6	136256863	136289851
ZC3H14	14	88562909	88627596
GDA	9	72114595	72257193
TAL1	1	47216290	47232220
PAX5	9	36833275	37034185
MSH4	1	75796882	75913238
LILRB3	19	54216278	54223506
B4GALNT1	12	57623410	57633355
BRSK1	19	55282072	55312533
USP21	1	161159450	161165723
ITGAL	16	30472658	30523185
CENPT	16	67828157	67847811
LBH	2	30231531	30323730
PPARA	22	46150521	46243756
ACOT13	6	24667035	24705065
RPS27L	15	63125872	63158021
TBX21	17	47733244	47746119
DDR1	CHR_HSCHR6_MHC_QBL_CTG1	30870550	30889733
CRTAM	11	122838500	122872639
KLHL6	3	183487531	183555689
GARS	7	30594681	30634033
GNAT3	7	80458671	80512020
PRICKLE3	X	49175264	49186528
CD274	9	5450503	5470566
FASTKD3	5	7859159	7869037
PIP5KL1	9	127920879	127930797
KIR3DL1	CHR_HSCHR19KIR_ABC08_A1_HAP_CTG3_1	54786266	54830785
SLC8A2	19	47428017	47472168
BRCA1	17	43044295	43170245
YRDC	1	37802944	37808185
OR3A2	17	3277899	3278974
PAK3	X	110944285	111227361
KCNS3	2	17877847	18361616
RWDD2B	21	29004384	29019378
GSTP1	11	67583595	67586660
RPS6KB1	17	59893046	59950564
NWD1	19	16719976	16817963
AGPS	2	177392644	177543836
SNX14	6	85505496	85594156
CLYBL	13	99606669	99897134
TCTE3	6	169740114	169751587
GAL	11	68683779	68691175
ARID3B	15	74541177	74598131
TIGD5	8	143597835	143603224
TDRD1	10	114179270	114232304
ADCY4	14	24318349	24335093
C11orf31	11	57741250	57743554
C1orf159	1	1081818	1116361
KIR2DL3	CHR_HSCHR19_4_CTG3_1	54732711	54776083
GABRA1	5	161847191	161899981
MRPL17	11	6680782	6683401
WFDC12	20	45123425	45124465
NUDT5	10	12165325	12196144
DHDH	19	48933682	48944969
GUCY1B3	4	155758992	155807591
C2	CHR_HSCHR6_MHC_SSTO_CTG1	31912644	31938328
DHH	12	49089421	49094819
OGN	9	92383967	92404696
SEC62	3	169966635	169998373
TUBGCP2	10	133278630	133312337
BSN	3	49554489	49671545
ATF6B	6	32098176	32128253
PAGE1	X	49687450	49695993
KRT83	12	52314301	52321398
RAB39A	11	107928503	107963482
NXF5	X	101832112	101857577
CR1L	1	207645113	207738416
WDR93	15	89690797	89743638
GUCY1A2	11	106674012	107018524
CEACAM16	19	44699151	44710714
SUPT16H	14	21351472	21384266
LPAR5	12	6618835	6636447
STARD13	13	33103135	33350630
RPLP0	12	120196686	120201235
LILRB2	CHR_HSCHR19LRC_PGF1_CTG3_1	54274438	54278995
SIDT2	11	117178733	117197445
CDO1	5	115804733	115816954
STAC	3	36380344	36548007
STAT4	2	191029576	191151596
CISD1	10	58269058	58289586
SCYL2	12	100267140	100341724
C16orf13	16	634427	636366
CCDC33	15	74236289	74336472
ETAA1	2	67397319	67410545
LTV1	6	143843344	143863812
MLLT6	CHR_HSCHR17_7_CTG4	38506329	38530590
ZNRD1	CHR_HSCHR6_MHC_MCF_CTG1	30137399	30143406
TAF15	CHR_HSCHR17_7_CTG4	35809455	35864615
ASB7	15	100602534	100651705
CTSK	1	150796208	150808323
ZNF446	19	58474017	58481230
MLH3	14	75013764	75051532
STMN3	20	63639705	63657682
CDKL3	5	134286350	134371047
SCN9A	2	166195185	166375993
CNOT8	5	154857553	154876793
SMOX	20	4120980	4187747
MYOZ1	10	73631654	73641757
NFIA	1	60865259	61462793
HRAS	11	532242	537287
COL5A3	19	9959561	10010471
SYNE1	6	152121684	152637801
TEX29	13	111316184	111344249
PVALB	22	36800684	36819479
TOP1MT	8	143304384	143359979
IRF4	6	391739	411447
C4orf32	4	112145397	112195256
PPP1CB	2	28751640	28802940
AGMO	7	15200318	15562015
FAM120B	6	170290703	170407065
COL8A2	1	36095236	36125220
BRE	2	27889941	28338901
PRB4	12	11307083	11310435
KLK5	19	50943303	50953093
PITPNA	17	1517718	1562816
DDHD1	14	53036745	53153282
PAIP2	5	139341587	139369720
HACE1	6	104728093	104859919
LDHC	11	18412307	18452058
PSORS1C2	CHR_HSCHR6_MHC_COX_CTG1	31130046	31131862
IL2RB	22	37125838	37175054
SLC25A12	2	171784370	171999859
PLIN1	15	89664365	89679427
DPF3	14	72619296	72894116
BASP1	5	17065598	17276843
PDCL2	4	55556525	55592212
ARMC9	2	231198546	231374837
PARD3B	2	204545793	205620162
GSX1	13	27792643	27794768
PNPLA5	22	43879678	43892013
LCE1D	1	152796751	152798181
TUBG1	17	42609676	42615234
MMP21	10	125766453	125775821
MEF2C	5	88717117	88904257
ATP11B	3	182793500	182921635
F2RL1	5	76818933	76835315
SLC25A25	9	128068201	128109245
C9orf114	9	128819651	128829821
ARVCF	22	19969896	20016808
GPCPD1	20	5544404	5611026
ULK1	12	131894651	131923167
TMEM180	10	102461395	102477045
HIST1H1B	6	27866849	27867529
OPRL1	20	64080173	64100643
OVOL2	20	17956979	18059188
TRIM13	13	49995888	50020481
MECP2	X	154021573	154137103
FMO2	1	171185208	171211230
FAM222A	12	109714228	109770507
HLA-G	6	29826967	29831125
CRAT	9	129094810	129111189
NPPC	2	231921820	231926403
ZFP41	8	143246821	143262705
RNASEH1	2	3544793	3558616
LRRC56	CHR_HSCHR11_1_CTG8	537527	554915
TOMM22	22	38681948	38685421
PSMB2	1	35599544	35641844
SFTPA2	10	79555852	79560397
INA	10	103277163	103290351
C18orf8	18	23503470	23531807
PHF8	X	53936676	54048958
TRIM40	6	30136108	30148735
DDX50	10	68901278	68946847
PKN1	19	14433053	14471867
HEPN1	11	124919244	124920677
OR56A1	11	6026671	6027741
PGM3	6	83161150	83193936
SERPINF2	CHR_HSCHR17_1_CTG2	1741760	1754189
TECPR1	7	98214624	98252251
SPHK2	19	48619291	48630717
BBS2	16	56466836	56520283
DYDC1	10	80336105	80356755
PRPF31	19	54115410	54131719
NRN1	6	5997999	6007605
PLB1	2	28457145	28643788
ZNHIT3	CHR_HSCHR17_7_CTG4	36487001	36499682
STAT2	12	56341597	56360155
SLC17A1	6	25782897	25832059
COL20A1	20	63293186	63334851
ELP4	11	31509750	31783998
CACFD1	9	133459965	133470848
SAMD3	6	130144315	130365425
KPRP	1	152759561	152762052
HEPACAM	11	124919193	124936412
ITPRIP	10	104309698	104338404
PLEKHH2	2	43637273	43767987
LY6G5C	CHR_HSCHR6_MHC_MCF_CTG1	31752963	31760319
RFX5	1	151340640	151347357
GPR182	12	56994446	56998441
COL9A2	1	40300487	40317816
BGLAP	1	156241962	156243321
PDXP	22	37658727	37666934
YPEL1	22	21697544	21735834
